Artist,song_album,Title,song_release_date
Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Harmony,1973-10-05
Zac Brown Band,You Get What You Give (Deluxe),No Hurry,2010-09-20
Martina McBride,Everlasting,Bring It on Home to Me,2014-04-08
Martina McBride,Greatest Hits,Wrong Again,2001-09-17
Brad Paisley,Hits Alive,Then (Piano Mix),2010-11-02
Blake Shelton,All About Tonight,Who Are You When I'm Not Looking,2010-08-06
Blake Shelton,Based on a True Story... (Deluxe Edition),My Eyes (feat. Gwen Sebastian),2013-03-26
Blake Shelton,Based on a True Story... (Deluxe Edition),Lay Low,2013-03-26
Blake Shelton,The Blake Shelton Collection,If I Was Your Man,2013-12-06
Blake Shelton,Blake Shelton's Barn & Grill,Nobody but Me,2004-10-26
Blake Shelton,Hillbilly Bone,You'll Always Be Beautiful,2010-03-01
Blake Shelton,Loaded: The Best of Blake Shelton,She Wouldn't Be Gone,2010-11-08
Brett Eldredge,Bring You Back,One Mississippi,2013-08-06
Brandy Clark,12 Stories,Hold My Hand,2013-10-22
Josh Turner,Lay Low,Lay Low,2014-09-16
Josh Turner,Haywire,I Wouldn't Be A Man,2010
David Nail,I'm A Fire,Whatever She's Got,2014-01-01
David Nail,I'm A Fire,Kiss You Tonight,2014-01-01
David Nail,I'm A Fire,Broke My Heart,2014-01-01
David Nail,I'm A Fire,Burnin' Bed,2014-01-01
David Nail,I'm A Fire,The Secret,2014-01-01
Sam Hunt,Montevallo,Take Your Time,2014-10-27
Josh Gracin,Josh Gracin - REALity Country,I Want To Live,2010-01-01
Darius Rucker,Learn To Live,Alright,2008-01-01
Tracy Byrd,The Definitive Collection,Just Let Me Be In Love,2007-01-01
Kenny Chesney,Greatest Hits II,I'm Alive (with Dave Matthews),2009-05-19
Jake Owen,Easy Does It,Don't Think I Can't Love You,2009-02-24
Chris Young,The Man I Want To Be,Gettin' You Home,2009-09-01
Easton Corbin,Baby Be My Love Song,Baby Be My Love Song,2014-09-09
Easton Corbin,All Over The Road,Lovin' You Is Fun,2012-01-01
Zac Brown Band,You Get What You Give (Deluxe),Colder Weather,2010-09-20
Zac Brown Band,Uncaged,Goodbye in Her Eyes,2012-07-03
Zac Brown Band,The Foundation,Whatever It Is,2008-11-17
Zac Brown Band,Greatest Hits So Far...,As She's Walking Away (feat. Alan Jackson) - Greatest Hits Version,2014-11-07
George Jones,George Jones - 16 Biggest Hits,He Stopped Loving Her Today,1998-07-14
Rainey Qualley,Turn Me on Like the Radio,Turn Me on Like the Radio,2015-01-06
Chris Young,Neon,Lost,2011-07-11
Tim McGraw,Love Story,Watch The Wind Blow By,2014-02-04
Brett Eldredge,Bring You Back,Gotta Get There,2013-08-06
Brett Eldredge,Bring You Back,Waited Too Long,2013-08-06
Eric Church,The Outsiders,Like A Wrecking Ball,2014-01-01
Keith Urban,Greatest Hits,You'll Think Of Me - Single Version,2007-01-01
Darius Rucker,"Charleston, SC 1966",This,2010-01-01
Tim McGraw,Number One Hits,Live Like You Were Dying,2010-11-30
Luke Bryan,I'll Stay Me,First Love Song,2007-01-01
Lee Brice,A Woman Like You (Single),A Woman Like You,2011-10-04
Craig Morgan,Greatest Hits,That's What I Love About Sunday,2008-09-30
Toby Keith,Toby Keith 35 Biggest Hits,A Little Too Late,2008-01-01
William Michael Morgan,I Met A Girl,I Met A Girl,2015-06-24
Blake Shelton,The Blake Shelton Collection,Goodbye Time,2013-12-06
Gretchen Wilson,Under the Covers,Into the Mystic,2013-05-28
Mickey Guyton,Mickey Guyton,Better Than You Left Me,2015-05-26
Brooks & Dunn,Tight Rope,You'll Always Be Loved by Me,1999-09-21
Dustin Lynch,Cowboys and Angels (Acoustic Version),Cowboys and Angels (Acoustic Version),2012-10-23
Mark Chesnutt,I Don't Want To Miss A Thing,I Don't Want To Miss A Thing,1999-01-01
DJ Crazy J Rodriguez,"Country Gone Crazy, Vol. 1",Highway Dont Care,2013-12-19
Travis Tritt,Greatest Hits: From the Beginning,Drift off to Dream,1995
Chris Young,I'm Comin' Over,I'm Comin' Over,2015-05-12
Brooks Jefferson,Strummin' On Garth,What She's Doing Now,2015-03-13
Tim McGraw,Love Story,Everywhere,2014-02-04
Brooks & Dunn,The Greatest Hits Collection II,My Heart Is Lost To You,2004-10-19
Jon Pardi,Head Over Boots,Head Over Boots,2015-09-04
Thomas Rhett,Tangled Up,Die A Happy Man,2015-01-01
Brad Paisley,Hits Alive,Whiskey Lullaby (feat. Alison Krauss),2010-11-02
Brad Paisley,This Is Country Music,Remind Me (with Carrie Underwood),2011-05-23
Brett Eldredge,Raymond,Raymond,2010-09-07
Chris Cagle,The Best Of Chris Cagle,Miss Me Baby,2010-01-01
Dierks Bentley,Feel That Fire,I Wanna Make You Close Your Eyes,2009-01-01
Dierks Bentley,Greatest Hits / Every Mile A Memory 2003 - 2008,Come A Little Closer,2008-01-01
George Strait,50 Number Ones,The Chair,2004-01-01
Jason Aldean,My Kinda Party,Don't You Wanna Stay,2010-11-02
Kenny Chesney,Everywhere We Go,You Had Me from Hello,1999-02-26
,Classic Country - 90's Greats - CD2,I Do (Cherish You),
Martina McBride,Eleven,I'm Gonna Love You Through It,2011-01-01
Rascal Flatts,Greatest Hits Volume 1,I Melt - Remastered Version,2008-01-01
Rascal Flatts,Still Feels Good,Take Me There,2007-01-01
Reba McEntire,50 Greatest Hits,Somebody Should Leave,2008-01-01
Reba McEntire,50 Greatest Hits,She Thinks His Name Was John,2008-01-01
Tim McGraw,Number One Hits,Please Remember Me,2010-11-30
Toby Keith,Toby Keith 35 Biggest Hits,You Shouldn't Kiss Me Like This,2008-01-01
Reba McEntire,50 Greatest Hits,The Last One To Know,2008-01-01
Alison Krauss,Now That I've Found You: A Collection,When You Say Nothing At All,1995
The Chicks,The Essential The Chicks,Landslide,2010
Shania Twain,Greatest Hits,The Woman In Me (Needs The Man In You),2004-01-01
Lonestar,I'm Already There,I'm Already There,2001-03-27
Martina McBride,The Essential Martina McBride,Valentine,2012-10-23
Reba McEntire,Greatest Hits Volume III - I'm A Survivor,Sweet Music Man,2001-01-01
Billy Currington,Enjoy Yourself,Let Me Down Easy,2010-09-30
Kenny Chesney,Greatest Hits,When I Close My Eyes,2000-09-25
Toby Keith,Big Dog Daddy,Love Me If You Can,2007-01-01
Carrie Underwood,Play On,Temporary Home,2009-11-03
Carrie Underwood,Some Hearts,I Just Can't Live a Lie,2005-11-14
Brad Paisley,Time Well Wasted,She's Everything,2005-08-16
Easton Corbin,Easton Corbin,I Can't Love You Back,2010
Chris Young,Neon,Tomorrow,2011-07-11
Chris Young,The Man I Want To Be,The Man I Want to Be,2009-09-01
Chris Cagle,The Best Of Chris Cagle,Anywhere But Here,2010-01-01
Various Artists,Country Love,Home,2009-02-03
Miranda Lambert,Revolution,The House That Built Me,2009-09-24
Tim McGraw,Two Lanes Of Freedom (Accelerated Deluxe),Highway Don't Care,2013-01-01
Montgomery Gentry,Rebels on the Run,Missing You,2011-10-18
Jake Owen,Easy Does It,Anything For You,2009-02-24
Florida Georgia Line,Anything Like Me,Never Let Her Go,2010-12-14
Florida Georgia Line,Anything Like Me,Black Tears,2010-12-14
George Strait,Love Is Everything,Give It All We Got Tonight,2013-01-01
George Strait,Love Is Everything,I Just Can't Go On Dying Like This,2013-01-01
George Strait,Love Is Everything,I Believe,2013-01-01
George Strait,Love Is Everything,Love Is Everything,2013-01-01
Billy Currington,Best Of,She's Got A Way With Me,2011-01-01
Lady A,Need You Now,Need You Now,2010-01-01
Kenny Chesney,Greatest Hits,Me and You,2000-09-25
Chuck Wicks,Hold That Thought,Hold That Thought,2010-05-16
Chuck Wicks,Starting Now,What If You Stay,2008
Gary Allan,Greatest Hits,Her Man,2007-01-01
George Strait,George Strait's Greatest Hits,Marina Del Rey,1985-01-01
Gary Allan,Greatest Hits,Lovin' You Against My Will,2007-01-01
Jimmy Wayne,Do You Believe Me Now (MP3),I Will,2008-09-30
Jimmy Wayne,Jimmy Wayne,I Love You This Much,2003-01-01
Josh Gracin,Redemption,I Still Love You,2011-11-08
Love and Theft,Love and Theft,Thinking Of You (And Me),2012-07-24
Steve Holy,Blue Moon,Good Morning Beautiful,2000-10-03
Tracy Lawrence,The Singer,Paint Me a Birmingham,2011-06-08
Keith Urban,Defying Gravity,Only You Can Love Me This Way,2009-01-01
Jason Aldean,Night Train,Walking Away,2012-10-16
Randy Houser,How Country Feels,Like a Cowboy,2013
Dierks Bentley,RISER,Say You Do,2014-01-01
Mark Wills,2nd Time Around,I Do (Cherish You),2009-06-16
Joe Diffie,Live at Billy Bob's Texas,So Help Me Girl,2009-11-17
Dolly Parton,Once Upon A Christmas,Hard Candy Christmas,1984-10-29
Easton Corbin,All Over The Road,Are You With Me,2012-01-01
Easton Corbin,All Over The Road,Dance Real Slow,2012-01-01
Eric Paslay,Eric Paslay,She Don't Love You,2014-01-01
Luke Bryan,Kill The Lights,Strip It Down,2015-08-07
Kenny Chesney,The Big Revival,Wild Child (with Grace Potter) (with Grace Potter),2014-09-22
Chris Isaak,Best of Chris Isaak (Remastered),Wicked Game,2006
Jana Kramer,I Got the Boy,I Got the Boy,2015-01-27
Cole Swindell,Should've Ran After You,Should've Ran After You,2015-11-06
Parmalee,Feels Like Carolina,Close Your Eyes,2013-12-10
Dolly Parton,I Will Always Love You And Other Greatest Hits,I Will Always Love You,1989
Chase Rice,Ignite the Night (Party Edition),Ride (feat. Macy Maloy),2014-08-19
Brett Young,Brett Young,In Case You Didn't Know,2017-02-10
George Strait,Best Of,I Just Want To Dance With You,2011-01-01
Josh Gracin,Josh Gracin - REALity Country,Nothin' To Lose,2010-01-01
Luke Bryan,Crash My Party,Play It Again,2013-01-01
Kelly Clarkson,Greatest Hits - Chapter One,Don't Rush (feat. Vince Gill),2012-11-19
Dustin Lynch,Dustin Lynch,Rock You Sweet,2012-08-21
Luke Bryan,Crash My Party,Out Like That,2013-01-01
Luke Bryan,Doin' My Thing,Rain Is A Good Thing,2009-01-01
Dierks Bentley,Feel That Fire,Feel That Fire,2009-01-01
Luke Bryan,Tailgates & Tanlines,I Don't Want This Night To End,2011-08-09
Billy Currington,We Are Tonight,We Are Tonight,2013-01-01
Eric Paslay,Friday Night,Friday Night,2013-01-01
Frankie Ballard,Sunshine & Whiskey,Helluva Life,2014-04-03
Josh Turner,Haywire (Deluxe Edition),All Over Me,2010
Jason Aldean,Burnin' It Down,Burnin' It Down,2014-07-22
Sam Hunt,Leave The Night On,Leave The Night On,2014-06-16
Lee Brice,I Don't Dance (Single),I Don't Dance,2014-02-25
Love and Theft,Night That You'll Never Forget,Night That You'll Never Forget,2014-03-04
Casey James,Casey James,Miss Your Fire,2012-03-19
Tim McGraw,Love Story,She's My Kind Of Rain,2014-02-04
Justin Moore,Off The Beaten Path (Deluxe Edition),Off The Beaten Path,2013-01-01
Thomas Rhett,Thomas Rhett EP,Make Me Wanna,2012-01-01
Dustin Lynch,Dustin Lynch,Wild In Your Smile,2012-08-21
Keith Anderson,Pickin' Wildflowers,Pickin' Wildflowers,2005-01-03
Justin Moore,Outlaws Like Me,Bed Of My Chevy,2011-01-01
Jason Aldean,Night Train,Staring at the Sun,2012-10-16
Craig Campbell,Never Regret,Keep Them Kisses Comin',2013-05-07
Dean Brody,Dirt,Underneath The Apple Trees,2012-05-01
Dean Brody,Dirt,Flowers In Her Hands,2012-05-01
Dustin Lynch,Where It's At,Your Daddy's Boots,2014-09-09
Darius Rucker,Homegrown Honey,Homegrown Honey,2014-08-25
Josh Abbott Band,She's Like Texas,She's Like Texas,2010-02-16
Tim McGraw,Two Lanes Of Freedom (Accelerated Deluxe),One Of Those Nights,2013-01-01
Gloriana,[Kissed You] Good Night,(Kissed You) Good Night,2011-10-14
Jake Owen,Barefoot Blue Jean Night,Apple Pie Moonshine,2011-08-26
Keith Urban,Get Closer (Deluxe Version),You Gonna Fly,2010-01-01
Blake Shelton,Based on a True Story... (Deluxe Edition),Ten Times Crazier,2013-03-26
Chris Cagle,Back In The Saddle,Let There Be Cowgirls,2012
A Thousand Horses,Smoke,Smoke,2014-12-19
Brett Eldredge,Lose My Mind,Lose My Mind,2015-04-21
Zac Brown Band,JEKYLL + HYDE,Beautiful Drug,2015-04-28
Clint Black,Greatest Hits,Like the Rain,1996-09-23
Clint Black,Greatest Hits II,When I Said I Do,2001-11-19
Blake Shelton,BRINGING BACK THE SUNSHINE,Sangria,2014-09-30
Chris Young,Neon,She's Got This Thing About Her,2011-07-11
Dustin Lynch,Where It's At,Mind Reader,2014-09-09
Chris Young,I'm Comin' Over,Callin' My Name,2015-11-13
James Otto,Sunset Man (Standard Version),Just Got Started Lovin' You,2008-04-07
Justin Chain,She’s Country (The Voice Performance),She’s Country - The Voice Performance,2014-01-01
Thompson Square,Thompson Square,Are You Gonna Kiss Me Or Not,2011-02-08
Sammy Kershaw,Sammy Kershaw - The Definitive Collection,She Don't Know She's Beautiful,2004-01-01
Canaan Smith,Bronco,Love You Like That,2015-06-23
Brothers Osborne,Stay A Little Longer,Stay A Little Longer,2015-03-10
Tim McGraw,Top Of The World,Top Of The World,2015-01-01
Dan + Shay,From the Ground Up,From the Ground Up - Single Version,2016-02-05
LANCO,LANco,American Love Story,2015-09-02
Neal McCoy,The Very Best Of Neal McCoy,They're Playin' Our Song - Remastered Version,2008-05-30
Alan Jackson,Playlist: The Very Best Of Alan Jackson,It Must Be Love,1991
Dylan Scott,My Girl,My Girl,2016-05-27
Alan Jackson,Playlist: The Very Best Of Alan Jackson,Never Loved Before (with Martina McBride),1991
Alan Jackson,The Essential Alan Jackson,Look At Me,2012-04-17
Chris Young,Chris Young,You're Gonna Love Me,2006-10-02
Jon Pardi,California Sunrise,Dirt On My Boots,2016-05-13
Brett Eldredge,Illinois,Wanna Be That Song,2015-09-11
Jake Owen,Barefoot Blue Jean Night,Anywhere With You,2011-08-26
Dustin Lynch,Dustin Lynch,Cowboys and Angels,2012-08-21
Casey James,Let's Don't Call It A Night,Let's Don't Call It A Night,2011-08-15
Jon Pardi,Up All Night,Up All Night,2013-03-29
Dierks Bentley,Home,5-1-5-0,2012-01-01
Craig Morgan,This Ole Boy,This Ole Boy,2011-08-02
Jake Owen,Easy Does It,Eight Second Ride,2009-02-24
Eli Young Band,Life At Best,Crazy Girl,2011-01-01
Luke Bryan,Tailgates & Tanlines,Country Girl (Shake It For Me),2011-08-09
Love and Theft,Love and Theft,Angel Eyes,2012-07-24
LANCO,LANCO - EP,Greatest Love Story,2016-04-15
Luke Bryan,Kill The Lights (Deluxe),To The Moon And Back,2015-08-07
Kane Brown,Kane Brown (Deluxe Edition),Heaven,2017-10-06
Ryan Upchurch,Summer Love,Summer Love,2017-05-05
Luke Combs,Beautiful Crazy,Beautiful Crazy,2018-05-04
Jason Aldean,Wide Open,Don't Give up on Me,2009-04-07
Jon Langston,Jon Langston - EP,Forever Girl,2015-12-11
Chris Bandi,Man Enough Now,Man Enough Now,2016-09-30
Randy Houser,How Country Feels,Goodnight Kiss,2013
Luke Combs,This One's for You,I Got Away with You,2017-06-02
Lee Brice,Hard 2 Love,Hard To Love,2012-04-24
Logan Mize,Come Back Road,Ain't Always Pretty,2017-07-28
Russell Dickerson,Yours - EP,Yours,2016-10-24
Jon Langston,Right Girl Wrong Time,Right Girl Wrong Time,2017-04-28
Chris Young,Losing Sleep,Losing Sleep,2017-05-12
Thomas Rhett,Life Changes,Marry Me,2017-09-08
Blake Shelton,Red River Blue (Deluxe Edition),God Gave Me You,2011-07-11
Josh Turner,Deep South,Lay Low,2017-03-10
Dierks Bentley,I Wanna Make You Close Your Eyes (Acoustic Version),I Wanna Make You Close Your Eyes - Acoustic,2009-01-01
Kip Moore,Up All Night,Hey Pretty Girl,2012-01-01
Chris Young,A.M.,Lonely Eyes,2013-09-16
Scotty McCreery,Five More Minutes,Five More Minutes,2017-05-05
Kip Moore,Young Love,Young Love,2013-01-01
Lee Brice,I Don't Dance (Deluxe Edition),I Don't Dance,2014-09-09
Kip Moore,More Girls Like You,More Girls Like You,2017-02-10
Dan + Shay,19 You + Me,19 You + Me,2013-08-20
Granger Smith,Happens Like That,Happens Like That,2017-05-19
Billy Currington,Summer Forever,Do I Make You Wanna,2015-06-02
Old Dominion,Happy Endings,Written in the Sand,2017-08-25
Brett Eldredge,Brett Eldredge,The Long Way,2017-08-04
Chase Rice,Dirt Road Communion,The Little Things,2012-03-20
Eric Church,Carolina,Love Your Love The Most,2009-01-01
Michael Ray,Get to You,Get to You,2017-06-15
Luke Bryan,Doin' My Thing,Do I,2009-01-01
Kane Brown,Chapter 1 - EP,There Goes My Everything,2016-03-25
Scotty McCreery,Clear As Day,I Love You This Big,2011-01-01
William Michael Morgan,William Michael Morgan EP,I Met a Girl,2016-03-18
Craig Morgan,That's Why,It Took A Woman,2008
Dan + Shay,Obsessed,How Not To,2016-06-03
Sam Hunt,Montevallo,Make You Miss Me,2014-10-27
Frankie Ballard,It All Started with a Beer,It All Started With a Beer - Single Version,2015-11-06
Luke Combs,This One's for You,Lonely One,2017-06-02
Hunter Hayes,Hunter Hayes (Encore),Wanted,2011
Chase Rice,Dirt Road Communion,Every Song I Sing,2012-03-20
Easton Corbin,About To Get Real,Clockwork,2015-06-30
Luke Bryan,Crash My Party,Roller Coaster,2013-01-01
Josh Turner,Hometown Girl,Hometown Girl,2016-05-13
Kane Brown,Kane Brown (Deluxe Edition),Found You,2017-10-06
High Valley,Dear Life,She's With Me,2016-11-18
Morgan Evans,Kiss Somebody,Kiss Somebody,2017-07-21
Tim McGraw,Love Story,Just To See You Smile,2014-02-04
Blake Shelton,Came Here To Forget,Came Here to Forget,2016-03-08
Granger Smith,Remington,If the Boot Fits,2016-03-04
Brett Young,Brett Young EP,Sleep Without You,2016-01-01
Dan + Shay,Where It All Began,Nothin' Like You,2014-04-01
Brett Eldredge,Illinois,Drunk on Your Love,2015-09-11
Michael Ray,Michael Ray,Real Men Love Jesus,2015-08-07
Kane Brown,Kane Brown,What Ifs (feat. Lauren Alaina),2016-12-02
George Strait,Love Is Everything,I Got A Car,2013-01-01
Blake Shelton,If I'm Honest,She's Got a Way with Words,2016-05-20
Blake Shelton,If I'm Honest,A Guy with a Girl,2016-05-20
Easton Corbin,All Over The Road,All Over The Road,2012-01-01
George Strait,Strait Out Of The Box,Check Yes Or No,1995-01-01
Easton Corbin,Let's Ride,Let's Ride,2015-07-17
Dylan Scott,Dylan Scott,My Girl,2016-08-12
Big & Rich,Gravity,Run Away With You,2014-09-23
Lee Brice,Love Like Crazy,Love Like Crazy,2010-06-08
Brantley Gilbert,Halfway To Heaven (Deluxe Edition),You Don't Know Her Like I Do,2010
Big & Rich,Gravity,Look at You,2014-09-23
Lee Brice,Hard 2 Love,A Woman Like You,2012-04-24
Scotty McCreery,See You Tonight,See You Tonight,2013-01-01
Craig Morgan,Little Bit Of Life,My Kind of Woman,2006-10-31
Aaron Watson,Real Good Time,Summertime Girl,2012-10-09
Dan + Shay,Where It All Began,Show You Off,2014-04-01
Scotty McCreery,See You Tonight,Before Midnight,2013-01-01
Trent Harmon,Trent Harmon,There’s A Girl,2016-12-09
Joe Nichols,Greatest Hits,Gimmie That Girl,2011
Justin Moore,Kinda Don't Care,Somebody Else Will,2016-01-01
Chris Young,Neon,I Can Take It From There,2011-07-11
Dan + Shay,Obsessed,Round the Clock,2016-06-03
Luke Bryan,Spring Break...Checkin' Out,Are You Leaving With Him,2015-03-10
Blake Shelton,If I'm Honest,Every Time I Hear That Song,2016-05-20
Florida Georgia Line,Dig Your Roots,"God, Your Mama, And Me",2016-08-26
Dierks Bentley,Black,Black,2016-06-10
Jordan Davis,Home State,Slow Dance In A Parking Lot,2018-03-23
Brett Young,Ticket To L.A.,Don’t Wanna Write This Song,2018-12-07
Chase Rice,"The Album, Pt. I",Forever To Go,2020-01-24
Chris Lane,Laps Around The Sun,I Don't Know About You,2018-07-13
Morgan Wallen,If I Know Me,Whiskey Glasses,2018-04-27
Parmalee,Be Alright,Be Alright,2019-03-15
Luke Combs,This One's for You Too (Deluxe Edition),Beautiful Crazy,2018-06-01
Kelsea Ballerini,kelsea,homecoming queen?,2020-03-20
Brett Young,Ticket To L.A.,Catch,2018-12-07
Parmalee,Just the Way,Just the Way,2019-12-13
Mitchell Tenpenny,Someone You Loved,Someone You Loved,2020-05-01
Brett Young,Ticket To L.A.,Chapters,2018-12-07
Russell Dickerson,Yours,Every Little Thing,2017-06-16
Mitchell Tenpenny,Just to See You Smile,Just to See You Smile,2019-04-05
Chris Young,Drowning,Drowning,2019-06-14
Russell Dickerson,Yours,Yours - Wedding Edition,2017-06-16
Dan + Shay,"10,000 Hours (with Justin Bieber) [Piano]","10,000 Hours (with Justin Bieber) - Piano",2019-11-27
Kelsea Ballerini,kelsea,the other girl (with Halsey),2020-03-20
Brett Young,Lady,Lady,2020-05-01
Dierks Bentley,I Hold On,I Hold On,2013-01-01
Jerrod Niemann,Drink to That All Night,Drink to That All Night,2013-09-30
Chase Rice,Ready Set Roll,Ready Set Roll,2013-10-15
Scotty McCreery,Seasons Change,This Is It,2018-01-12
Kane Brown,Last Time I Say Sorry,Last Time I Say Sorry,2020-03-27
Lady A,Ocean,What If I Never Get Over You,2019-11-15
Thomas Rhett,Center Point Road,Remember You Young,2019-05-31
Matt Stell,Everywhere But On,Prayed For You,2019-10-25
Luke Combs,What You See Is What You Get,Six Feet Apart,2019-11-08
Mitchell Tenpenny,Can't Go to Church,Can't Go to Church,2020-01-24
Mitchell Tenpenny,Telling All My Secrets,Drunk Me,2018-12-14
Mitchell Tenpenny,Here,Here,2020-04-10
Mitchell Tenpenny,Broken Up,Broken Up,2020-07-03
Mitchell Tenpenny,Telling All My Secrets,Goner,2018-12-14
Chase Rice,Lonely If You Are,Lonely If You Are,2019-06-07
Chris Janson,Real Friends,Done,2019-10-18
Luke Combs,What You See Is What You Get,Lovin' On You,2019-11-08
Kenny Chesney,Here And Now,Here And Now,2020-02-21
Sean Stemaly,Come Back To Bed,Come Back To Bed,2020-02-28
Russell Dickerson,Love You Like I Used To,Love You Like I Used To,2020-02-11
Lewis Brice,It's You (I've Been Looking For),It's You (I've Been Looking For),2020-02-07
Lee Brice,One Of Them Girls,One Of Them Girls,2020-04-10
Jimmie Allen,This is Us,This is Us,2020-02-21
Justin Moore,Late Nights And Longnecks,Why We Drink,2019-07-26
Kelsea Ballerini,hole in the bottle,hole in the bottle,2020-02-28
Gone West,Slow Down,Slow Down,2020-03-03
Waterloo Revival,Something You Ain't Ever Had,Something You Ain't Ever Had,2020-04-24
Brett Eldredge,Gabrielle,Gabrielle,2020-04-17
Maren Morris,GIRL,To Hell & Back,2019-03-08
Mitch Rossell,All I Need to See,All I Need to See,2019-05-06
Morgan Wallen,If I Know Me,Chasin' You,2018-04-27
Chris Lane,"Big, Big Plans","Big, Big Plans",2019-06-28
Jimmie Allen,Mercury Lane,Best Shot,2018-10-12
Jordan Davis,Home State,Take It From Me,2018-03-23
Jordan Davis,Home State,Singles You Up,2018-03-23
Russell Dickerson,Yours,Blue Tacoma,2017-06-16
LANCO,Hallelujah Nights,Greatest Love Story,2018-01-19
Dylan Scott,Nothing To Do Town,Nobody,2019-04-26
Carly Pearce,Carly Pearce,I Hope You’re Happy Now,2020-02-14
Florida Georgia Line,Dig Your Roots,H.O.L.Y.,2016-08-26
Brett Eldredge,Brett Eldredge,Love Someone,2017-08-04
LANCO,Hallelujah Nights,Born to Love You,2018-01-19
Chris Young,Losing Sleep,Hangin' On,2017-10-20
Kenny Chesney,Here And Now,Tip of My Tongue,2020-05-01
Chris Young,Losing Sleep,She's Got a Way,2017-10-20
Zac Brown Band,The Foundation,Chicken Fried,2008-11-17
Justin Moore,Late Nights And Longnecks,The Ones That Didn’t Make It Back Home,2019-07-26
LOCASH,Brothers,One Big Country Song,2019-03-29
Frankie Ballard,Sunshine & Whiskey,Helluva Life,2014-04-03
David Nail,Fighter,Night's On Fire,2016-07-15
Granger Smith,Remington,Backroad Song,2016-03-04
Granger Smith,Remington,If the Boot Fits,2016-03-04
Chris Stapleton,From A Room: Volume 1,Broken Halos,2017-05-05
Billy Currington,Summer Forever,It Don't Hurt Like It Used To,2015-06-02
Big & Rich,Gravity,Lovin' Lately,2014-09-23
Rodney Atkins,If You're Going Through Hell,Watching You,2006-07-18
Morgan Evans,Things That We Drink To,I Do,2018-10-12
Parmalee,Feels Like Carolina,Carolina,2013-12-10
Eli Young Band,"10,000 Towns",Drunk Last Night,2013-01-01
Scotty McCreery,Seasons Change,Wherever You Are,2018-01-12
Trace Adkins,American Man: Greatest Hits Vol. II,You're Gonna Miss This,2007-12-04
Lady A,Ocean,Ocean,2019-11-15
Morgan Wallen,7 Summers,7 Summers,2020-08-14
Carrie Underwood,Blown Away,Blown Away,2012-05-01
Luke Combs,This One's for You Too (Deluxe Edition),She Got the Best of Me,2018-06-01
Lee Brice,Lee Brice,Rumor,2017-11-03
Michael Ray,Amos,One That Got Away,2018-06-01
Jason Aldean,Rearview Town,You Make It Easy,2018-04-13
Riley Green,Different 'Round Here,I Wish Grandpas Never Died,2019-09-20
Dylan Scott,Dylan Scott (Deluxe Edition),My Girl,2017-08-04
Chris Stapleton,Traveller,Tennessee Whiskey,2015-05-04
Jason Aldean,My Kinda Party,Dirt Road Anthem,2010-11-02
Tim McGraw,Damn Country Music,Humble And Kind,2015-01-01
Luke Combs,This One's for You,Hurricane,2017-06-02
Lady A,Own The Night,Just A Kiss,2011-01-01
Lady A,Lady Antebellum,I Run To You,2008-01-01
Lady A,Need You Now,American Honey,2010-01-01
Hunter Hayes,Hunter Hayes,Wanted,2011-10-07
